都道府県,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
北海道,6.8,11.0,9.3,6.9,12.0,9.2,24.9,3.3,1.5,1.3,1.5,4.9,3.5,2.7,0.8,2.5,13.0,4.6,4.5,8.8
青森,0.1,1.4,0.7,0.3,0.6,0.0,0.2,0.2,0.0,0.0,0.3,1.0,0.4,0.7,0.3,0.0,0.0,1.8,0.8,0.4
岩手,0.0,0.7,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.1,0.1,0.1,0.0,0.6,0.1,0.1,0.2
宮城,0.4,1.8,0.5,0.7,0.5,0.0,0.9,0.8,0.6,1.8,0.8,0.9,1.7,0.3,0.6,0.4,1.3,1.0,2.3,0.7
秋田,0.1,0.9,0.3,0.1,0.3,0.0,0.1,0.4,0.0,0.0,0.1,1.2,0.4,0.7,0.1,0.0,0.6,0.3,0.2,0.1
山形,0.1,0.8,0.3,0.2,0.2,0.2,0.0,0.2,0.3,0.9,0.5,0.1,1.4,0.4,0.3,0.6,0.2,0.5,1.0,0.5
福島,0.1,0.6,0.1,0.2,0.8,0.0,0.4,0.0,0.7,0.0,0.6,0.2,0.2,0.5,0.3,0.3,0.6,0.2,0.5,0.3
茨城,0.3,0.5,0.1,0.6,1.5,0.2,1.0,1.8,2.0,0.9,2.1,1.5,3.0,1.3,1.0,0.3,1.7,0.9,1.4,0.9
栃木,0.3,1.6,1.5,0.8,4.4,0.9,1.5,2.8,1.1,3.1,3.0,3.1,3.4,5.9,6.0,7.9,3.5,1.9,1.5,3.0
群馬,0.1,0.7,0.5,0.2,1.5,0.6,0.3,0.9,0.9,1.4,1.0,0.7,0.9,0.1,0.6,0.7,0.4,0.4,0.8,0.7
埼玉,0.5,1.1,0.4,1.1,1.4,1.3,1.3,1.7,2.4,3.0,2.4,1.7,1.6,2.3,1.2,0.5,3.0,1.2,0.9,1.0
千葉,14.0,29.8,27.3,37.8,50.4,48.5,44.2,46.3,47.2,51.7,85.4,61.5,43.5,51.5,82.7,82.0,88.5,70.9,62.6,68.2
東京,21.4,32.6,32.7,57.3,55.8,68.2,39.9,80.8,55.5,65.2,60.3,94.5,82.0,86.7,82.5,86.1,68.6,76.6,81.1,85.9
神奈川,2.7,5.6,4.7,11.8,8.4,11.8,5.3,10.7,8.0,14.6,20.3,21.8,15.1,18.8,15.4,19.6,13.6,17.2,14.0,13.5
新潟,0.3,1.2,0.1,0.6,1.6,1.0,0.8,2.4,0.9,1.4,0.3,1.5,1.1,1.3,0.1,0.0,1.8,0.7,0.6,2.3
富山,0.3,3.5,1.8,0.3,1.6,0.4,0.6,2.3,0.2,1.1,1.1,0.8,0.2,0.8,0.6,0.0,3.2,0.4,0.7,0.3
石川,0.3,3.7,2.3,0.8,0.7,1.2,2.2,2.7,0.1,1.1,0.5,6.2,2.9,8.0,14.2,9.9,2.0,3.2,4.4,4.2
福井,0.1,0.2,0.6,0.1,0.0,0.0,0.3,0.0,0.1,0.5,0.2,0.2,0.6,0.3,0.2,0.7,0.5,0.2,0.2,0.4
山梨,0.2,3.5,2.9,11.7,11.5,5.5,6.2,8.7,6.3,8.5,3.3,4.7,3.8,4.0,3.4,1.7,4.4,3.3,5.6,5.7
長野,0.3,6.2,2.5,1.1,3.7,2.6,2.8,2.1,2.1,2.3,1.1,7.2,6.8,5.4,3.3,3.2,1.4,3.3,7.6,15.8
岐阜,0.5,4.1,2.8,1.5,4.6,2.4,2.8,3.9,1.0,0.4,0.3,4.3,5.3,7.2,13.7,15.7,0.8,2.9,4.7,6.1
静岡,0.8,2.7,1.5,10.9,4.6,4.0,3.9,7.0,5.3,10.0,7.7,3.0,4.9,6.4,3.6,3.1,0.4,3.4,4.2,2.8
愛知,2.8,6.6,7.1,18.5,8.0,4.5,3.7,5.1,9.3,18.0,6.3,2.8,10.9,6.4,4.4,5.9,5.0,5.9,7.1,6.2
三重,0.2,0.8,1.0,0.6,0.7,0.4,0.4,0.2,1.3,1.1,0.1,0.2,0.4,0.7,0.9,0.6,0.2,0.9,1.1,0.4
滋賀,0.2,1.8,0.5,0.4,0.4,0.2,0.6,0.6,0.2,0.8,0.1,0.0,0.2,0.2,0.4,0.6,0.4,0.9,0.3,0.5
京都,17.1,19.0,17.7,35.0,16.9,23.3,32.3,34.3,18.7,21.9,13.8,32.3,30.7,52.3,54.8,68.6,19.6,31.4,36.6,42.8
大阪,33.8,30.7,33.2,54.7,30.2,30.9,48.9,44.6,37.2,37.8,27.3,18.4,31.9,40.0,43.6,53.8,16.3,26.1,33.9,43.0
兵庫,5.5,7.6,5.7,3.9,6.3,4.7,7.4,5.3,6.5,5.8,4.8,2.7,5.3,8.6,6.6,5.8,2.5,4.3,7.9,4.8
奈良,3.5,6.8,5.0,13.3,4.0,3.6,8.8,3.1,6.0,1.7,1.8,4.4,6.2,12.4,14.7,22.2,3.7,4.9,7.7,4.0
和歌山,0.2,1.3,3.0,0.8,0.9,1.4,0.6,0.0,0.3,0.5,0.6,1.9,2.8,3.9,4.5,7.4,0.6,1.4,4.8,2.4
鳥取,0.1,0.4,0.9,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.5,0.2,0.4,0.3,0.0,1.5,0.3,0.2,0.1
島根,0.0,0.1,0.4,0.0,0.0,0.2,0.0,0.3,0.4,0.0,0.2,0.2,0.4,0.7,0.4,0.4,0.0,0.3,0.1,0.3
岡山,0.2,0.9,1.6,0.4,0.9,0.4,1.3,1.0,0.8,0.8,0.5,0.2,1.3,3.4,2.4,2.0,0.6,0.6,1.8,0.5
広島,0.6,1.3,2.7,0.9,1.5,2.0,1.8,2.9,2.6,1.3,3.9,15.2,14.6,15.0,15.9,26.0,3.5,8.0,12.2,17.4
山口,2.4,0.4,0.5,0.1,0.1,0.2,0.0,0.2,0.4,0.5,0.0,0.2,0.4,0.4,0.5,0.0,0.0,0.6,0.6,0.3
徳島,0.0,0.4,0.9,0.1,0.3,0.0,0.0,0.1,0.4,0.0,0.1,0.2,0.2,0.7,0.7,0.4,0.0,0.3,0.3,0.0
香川,0.3,1.0,1.3,1.2,0.2,0.4,0.1,0.0,0.7,0.8,0.5,1.0,0.4,1.8,1.5,1.9,0.2,0.7,1.4,1.8
愛媛,0.2,1.1,0.6,0.1,0.2,0.0,0.3,0.5,0.8,0.0,0.2,0.5,0.8,0.8,1.3,1.0,0.4,0.5,0.8,0.0
高知,0.1,0.2,0.3,0.1,0.1,0.6,0.1,0.0,0.2,0.0,0.0,0.0,0.4,0.2,0.1,0.3,0.0,0.2,0.9,0.4
福岡,23.5,7.3,9.6,3.6,6.2,5.4,0.7,1.0,6.1,7.1,0.9,1.7,2.5,2.6,1.7,3.6,1.7,3.9,1.9,2.6
佐賀,0.9,0.9,1.5,0.4,0.7,0.0,0.0,0.0,0.6,0.0,0.0,0.1,0.6,0.2,0.0,0.4,0.0,0.1,0.8,0.1
長崎,4.0,2.1,2.2,0.6,1.5,1.4,0.0,0.4,1.1,1.3,0.0,1.4,2.4,1.0,0.8,1.7,0.4,2.0,1.3,1.9
熊本,2.5,3.8,4.9,1.0,1.3,3.1,0.5,0.0,0.4,0.4,0.3,0.0,1.9,0.7,0.4,0.9,0.0,0.5,0.5,0.4
大分,10.6,3.3,5.3,1.4,1.8,2.1,0.2,0.9,0.9,0.0,0.0,0.6,1.3,1.4,0.4,2.2,0.2,0.6,0.7,0.6
宮崎,0.2,0.6,1.1,0.2,0.0,0.6,0.1,0.9,0.1,0.0,0.3,0.8,0.2,0.1,0.1,0.9,0.0,0.3,0.6,0.4
鹿児島,0.7,1.1,3.4,0.6,0.0,1.5,0.1,0.5,0.0,0.0,0.3,1.4,1.9,1.8,0.9,1.1,0.5,0.5,1.3,0.5
沖縄,9.5,10.9,12.9,6.7,1.5,3.7,0.4,0.0,0.3,0.4,0.6,1.0,2.1,1.5,2.3,1.0,2.8,4.1,2.9,1.6
