都道府県,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
北海道,9.9,10.6,8.1,6.8,13.7,11.1,15.0,3.9,3.6,1.2,2.7,5.1,4.1,3.5,2.0,1.9,7.0,4.7,4.0,8.9
青森,0.2,2.1,0.9,0.3,0.7,0.7,0.3,0.4,0.2,0.1,0.0,0.4,1.2,0.7,0.1,0.2,0.6,1.4,1.1,1.0
岩手,0.0,1.8,0.5,0.1,0.1,0.4,0.1,0.1,0.1,0.1,0.3,0.5,0.2,0.6,0.1,0.2,0.0,0.1,0.4,0.6
宮城,0.3,3.2,0.8,0.3,1.1,0.7,0.2,0.7,0.2,0.6,0.4,0.9,1.3,1.1,0.7,0.9,0.6,1.1,0.6,1.3
秋田,0.1,1.1,0.4,0.1,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.4,0.3,0.3,0.1,0.2,0.0,0.3,0.8,0.6
山形,0.1,1.2,0.5,0.1,0.4,0.6,0.2,0.2,0.5,0.0,0.0,0.6,0.7,0.6,0.1,0.0,0.8,0.3,0.7,0.6
福島,0.1,0.6,0.2,0.1,0.9,0.2,0.1,0.3,0.7,0.5,0.5,0.7,1.0,0.2,0.3,0.4,0.4,0.4,0.3,1.1
茨城,0.5,0.8,0.6,0.9,1.8,0.7,1.2,1.6,1.5,2.2,2.6,1.1,1.7,1.0,0.6,0.3,0.3,0.6,0.4,0.3
栃木,0.3,1.7,1.0,0.4,3.4,2.4,1.6,1.7,1.6,1.2,2.5,1.9,3.6,4.4,3.3,7.6,2.8,1.5,2.1,2.0
群馬,0.2,0.6,0.6,0.3,0.9,1.0,0.9,0.3,1.1,0.5,1.1,0.8,0.8,0.9,1.0,0.2,0.7,0.8,0.5,1.2
埼玉,0.8,1.1,0.9,0.7,1.9,0.4,1.6,1.6,2.5,3.7,1.8,1.6,2.0,0.9,1.2,0.8,0.6,1.1,1.2,0.9
千葉,16.5,26.3,28.4,31.7,46.0,37.7,34.7,42.2,45.5,49.1,75.7,52.4,43.9,49.2,62.6,70.5,89.7,63.1,58.6,64.1
東京,21.4,29.3,32.3,51.7,49.0,61.3,48.6,81.3,51.2,62.8,73.1,85.8,82.2,87.7,86.3,88.8,75.0,76.2,83.8,86.0
神奈川,2.8,4.6,4.0,8.9,5.8,6.6,6.7,9.2,9.1,9.2,19.2,21.0,17.2,17.2,16.8,20.5,9.9,17.0,14.8,13.5
新潟,0.1,0.8,0.6,0.3,1.1,1.1,1.6,1.0,0.9,0.7,0.7,2.0,0.7,0.9,0.6,0.6,2.1,0.7,0.7,2.5
富山,0.6,3.8,2.0,0.4,0.6,0.8,1.2,2.2,0.3,0.3,0.0,0.2,1.0,0.3,0.4,0.2,1.7,0.3,0.2,0.8
石川,0.3,4.1,3.0,0.6,1.4,1.4,1.8,4.1,0.7,0.3,0.2,4.7,4.2,5.1,13.9,9.7,0.6,2.2,4.0,5.3
福井,0.1,0.3,0.7,0.1,0.2,0.1,0.2,0.3,0.5,0.3,0.2,0.1,0.3,0.1,0.4,0.0,0.0,0.2,0.4,0.1
