都道府県,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
山梨,0.3,4.3,3.4,10.1,10.6,4.2,9.5,9.0,4.3,9.3,5.7,4.1,5.0,5.7,4.3,3.0,3.8,3.1,5.0,6.8
長野,0.4,6.2,3.4,1.0,4.1,3.0,2.5,3.5,1.9,1.3,0.5,5.4,4.8,3.5,4.6,3.7,2.2,2.5,5.6,14.5
岐阜,0.7,5.1,4.5,1.8,5.0,2.7,3.4,5.8,2.2,2.7,0.5,4.2,5.1,5.9,12.0,16.3,0.3,1.9,3.6,6.1
静岡,1.0,1.9,2.1,10.7,3.6,2.8,3.2,6.9,4.1,6.6,4.5,5.0,3.5,4.6,4.5,2.6,2.2,3.1,5.3,4.3
愛知,3.2,7.1,8.1,17.3,9.4,5.2,3.5,6.8,9.1,17.5,3.0,3.7,9.2,5.1,4.0,5.7,3.9,4.6,4.5,4.6
三重,0.4,0.9,1.0,0.8,1.0,0.1,0.5,1.1,1.0,0.8,0.8,0.7,2.1,0.6,0.9,0.5,0.2,0.5,0.8,0.4
滋賀,0.2,1.5,1.1,0.6,0.4,0.4,1.5,0.8,0.4,0.5,1.1,0.1,1.1,0.5,0.8,0.5,0.4,0.7,0.5,0.3
京都,13.9,18.4,19.1,42.0,16.6,22.8,27.9,33.5,20.9,27.7,17.1,34.1,36.4,45.2,50.7,62.3,23.6,30.4,40.8,43.4
大阪,28.8,26.1,31.4,58.8,28.4,33.1,39.8,45.1,37.6,43.7,23.2,32.8,36.1,40.8,40.1,52.3,22.4,28.3,41.6,45.0
兵庫,4.8,7.5,6.4,5.9,5.9,6.0,8.1,4.6,5.7,9.2,6.2,6.6,8.9,7.8,6.0,7.5,2.8,4.6,8.8,3.9
奈良,3.0,8.8,7.8,25.3,5.7,7.9,11.8,4.7,8.1,7.0,4.0,6.7,7.0,11.9,14.0,19.3,9.6,5.7,9.1,8.2
和歌山,0.2,0.8,2.3,0.8,1.1,0.7,0.5,0.8,0.5,0.5,0.6,4.0,3.2,3.6,2.8,4.1,1.8,1.3,2.4,2.3
鳥取,0.6,0.4,1.6,0.1,0.1,0.2,0.5,0.1,0.2,0.5,0.0,0.9,0.6,0.8,0.1,0.0,0.8,0.4,0.8,0.4
島根,0.3,0.4,0.5,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.2,1.1,0.2,0.7,0.3,0.1,0.4,0.2,0.0,0.2
岡山,0.5,2.0,2.0,0.4,0.4,0.7,0.7,0.4,0.5,1.5,0.4,1.7,2.2,1.5,1.3,1.6,1.5,0.7,1.1,1.9
広島,0.9,1.1,1.5,0.5,1.1,2.9,2.1,2.3,2.1,1.9,6.1,14.3,14.6,14.1,17.1,23.9,5.7,7.3,12.4,17.0
山口,1.6,0.6,0.7,0.1,0.3,0.0,0.1,0.1,0.4,0.1,0.0,0.4,0.3,0.2,0.3,0.0,0.4,0.9,0.2,0.2
徳島,0.1,0.5,1.0,0.1,0.2,0.2,0.2,0.1,0.2,0.0,0.2,0.4,1.0,1.0,0.5,0.1,0.0,0.4,0.7,0.4
香川,0.7,1.6,2.0,0.8,0.2,0.7,0.5,0.3,0.1,0.1,0.8,0.8,1.4,1.7,0.9,0.4,0.6,0.7,1.4,1.5
愛媛,0.1,0.7,0.8,0.2,0.1,0.4,0.5,0.6,0.4,0.0,1.3,0.6,1.2,0.7,0.8,0.1,0.3,0.4,0.7,0.5
高知,0.1,0.2,0.5,0.1,0.1,0.2,0.2,0.2,0.3,0.0,0.0,0.9,0.4,0.5,0.2,0.2,0.0,0.4,0.3,0.3
福岡,23.6,7.8,11.4,3.4,4.8,5.2,8.3,2.2,6.2,5.4,0.6,4.7,4.0,3.6,2.0,2.1,1.3,3.0,3.2,2.0
佐賀,2.0,1.4,1.7,0.6,0.5,0.3,0.2,0.1,0.0,0.4,0.0,0.1,0.2,0.1,0.2,0.1,0.0,0.2,0.1,0.1
長崎,2.8,2.1,2.3,0.4,0.6,1.1,0.8,0.1,1.0,0.4,0.3,1.2,1.5,1.0,0.4,0.8,0.3,1.5,1.4,1.8
熊本,2.2,3.9,5.3,1.0,1.2,1.8,2.3,0.4,0.4,1.0,0.1,0.7,1.5,0.9,0.2,0.4,0.6,0.5,0.6,0.6
大分,8.4,4.3,6.0,1.1,1.6,1.8,1.7,0.2,0.6,0.3,0.0,2.9,1.4,1.3,0.5,0.2,0.4,0.4,1.4,1.3
宮崎,0.6,0.9,2.1,0.1,0.1,0.5,0.6,0.1,0.0,0.1,0.0,0.4,0.7,0.1,0.2,0.2,0.4,0.2,0.2,0.1
鹿児島,1.3,1.1,4.0,0.4,0.1,1.0,0.4,0.1,0.2,0.2,0.0,1.3,1.0,1.2,0.1,0.9,0.4,0.7,1.6,0.8
沖縄,7.8,15.6,8.5,3.6,1.8,4.3,0.1,0.1,0.4,0.0,0.6,1.3,2.7,2.4,1.7,2.4,1.7,3.9,1.6,1.4
