都道府県,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
北海道,9.9,10.0,6.9,5.5,10.6,7.9,12.0,6.0,5.6,0.9,2.8,5.6,3.3,3.5,2.8,1.0,4.0,4.0,6.6,9.9
青森,0.2,1.9,1.1,0.4,0.4,1.1,0.8,0.2,0.1,0.2,0.3,1.0,0.4,1.0,0.5,0.4,0.0,1.0,1.0,1.4
岩手,0.0,1.9,0.9,0.2,0.3,0.6,0.3,0.3,0.1,0.1,0.1,0.3,0.2,0.3,0.1,0.0,0.0,0.1,0.1,0.3
宮城,0.2,4.1,2.6,0.6,0.8,1.0,1.8,0.8,0.2,0.3,0.5,1.3,2.5,2.3,1.0,0.5,0.0,0.9,0.9,1.0
秋田,0.1,1.1,0.9,0.1,0.1,0.2,0.2,0.1,0.2,0.1,0.2,0.3,0.3,0.9,0.1,0.0,0.0,0.2,0.3,0.3
山形,0.1,2.2,1.2,0.1,0.3,1.0,0.6,0.7,0.0,0.1,0.3,0.1,0.8,1.1,0.0,0.1,0.0,0.3,0.2,0.5
福島,0.0,1.2,0.5,0.1,0.7,0.5,0.5,0.1,0.5,0.7,1.0,0.4,0.9,1.2,0.5,0.0,0.0,0.5,0.1,0.7
茨城,0.3,0.6,0.3,0.5,1.1,0.2,1.0,2.6,1.5,1.7,1.6,0.4,0.9,0.8,0.4,0.6,0.0,0.4,0.2,0.4
栃木,0.2,1.0,0.4,0.5,2.5,1.3,2.6,2.0,1.0,0.6,2.4,2.1,3.7,5.7,6.1,8.1,0.1,1.5,1.7,1.7
群馬,0.1,0.4,0.4,0.3,1.2,0.8,0.2,0.6,0.8,0.4,0.5,0.6,0.5,1.0,1.3,1.5,0.0,0.6,0.6,0.8
埼玉,0.4,1.3,1.0,1.3,1.2,1.6,1.1,2.1,2.4,2.5,1.4,0.9,1.6,1.9,1.8,1.0,0.0,1.0,0.9,1.3
千葉,18.7,26.9,31.5,34.9,42.9,41.6,43.7,51.0,51.2,53.1,53.3,40.4,42.5,33.6,44.2,59.1,40.0,46.3,66.9,55.7
東京,22.5,31.0,35.8,50.3,49.6,61.8,60.6,80.8,56.2,62.4,90.1,90.4,91.1,92.0,94.3,94.6,87.7,90.7,87.1,88.1
神奈川,2.5,5.7,5.4,11.2,7.7,9.9,10.2,10.6,8.4,5.5,14.2,19.6,21.5,23.4,19.9,19.9,9.8,17.0,18.9,14.3
新潟,0.1,1.2,0.9,0.4,1.7,1.4,1.4,0.7,1.1,0.1,1.5,0.2,0.5,0.6,0.2,0.3,3.6,0.6,0.4,2.3
富山,0.3,2.4,1.4,0.6,1.0,1.1,1.1,1.2,0.4,0.3,2.2,0.6,0.7,1.4,0.3,1.6,0.0,0.4,0.3,0.5
石川,0.2,2.6,1.6,0.8,0.5,2.0,1.4,1.5,0.7,1.3,1.8,6.8,5.8,9.4,20.0,19.5,5.0,2.4,3.7,5.5
福井,0.1,0.3,0.3,0.1,0.2,0.4,0.5,0.1,0.3,0.2,0.2,0.1,0.2,1.4,0.2,0.2,4.2,0.2,0.2,0.2
山梨,0.6,4.9,4.5,11.9,17.1,11.4,18.8,20.1,11.6,25.0,16.7,12.7,12.6,14.1,8.9,11.9,10.4,8.1,11.1,13.6
長野,0.4,3.8,3.0,1.1,6.9,6.3,3.5,4.2,1.9,2.3,3.3,6.6,5.6,7.2,4.4,6.2,1.0,2.8,5.2,15.9
岐阜,1.2,4.8,3.5,1.5,6.0,3.7,3.7,3.9,3.4,2.5,3.1,5.8,5.2,8.7,14.4,24.5,5.1,2.1,3.1,5.6
静岡,1.2,2.0,3.1,6.1,4.1,3.6,4.8,6.0,4.7,5.4,5.0,4.7,5.0,4.8,2.9,2.0,2.2,3.1,3.3,6.0
愛知,4.2,7.8,7.3,9.4,8.5,7.6,4.6,4.9,9.3,20.2,4.0,5.2,6.4,8.3,6.0,7.5,11.3,3.8,5.4,7.0
三重,0.2,1.1,1.7,0.5,0.8,1.0,0.6,0.9,1.5,1.7,0.2,0.5,0.7,1.7,0.1,0.5,0.2,0.5,0.6,0.9
滋賀,0.1,0.9,0.9,0.7,0.3,0.6,0.5,0.4,0.4,1.1,0.9,1.4,1.1,1.3,0.4,0.7,0.0,0.4,0.4,0.4
京都,12.4,15.4,15.6,38.9,20.4,26.1,29.7,38.6,21.5,32.4,44.7,53.3,58.6,62.1,69.8,77.6,67.7,44.9,48.7,49.9
大阪,28.8,23.7,28.5,57.3,30.8,38.7,43.4,51.7,37.3,52.8,51.9,52.5,58.6,64.7,67.1,74.7,72.4,44.7,51.4,61.0
兵庫,1.8,4.1,4.9,9.2,2.6,4.3,5.2,4.6,3.8,9.3,4.9,6.4,9.7,10.2,7.8,8.7,5.4,4.6,7.2,6.1
奈良,1.9,3.6,3.6,15.2,3.4,6.8,10.1,6.1,7.6,4.8,15.2,17.3,23.2,25.4,27.2,37.2,24.6,11.9,15.3,12.6
和歌山,0.1,0.9,1.8,2.0,0.6,0.8,0.5,0.2,0.4,0.4,0.5,1.7,2.1,5.1,5.3,2.9,2.1,1.1,2.0,1.4
鳥取,0.4,0.5,0.4,0.2,0.3,0.1,0.2,0.2,0.1,0.2,0.3,0.4,0.8,0.4,0.6,0.1,0.6,0.2,0.2,0.4
島根,0.1,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.2,0.2,0.5,0.9,0.0,0.2,0.0,0.1,0.1,0.1
岡山,0.4,2.3,1.0,0.5,0.2,0.4,0.3,0.2,0.5,0.5,0.8,0.8,2.4,3.8,1.4,1.2,1.1,0.8,1.0,2.0
広島,0.8,1.4,1.6,0.6,0.5,1.9,1.2,0.9,1.6,2.4,13.0,19.6,18.0,20.3,20.8,19.4,2.5,8.3,11.4,17.0
山口,1.3,0.4,0.4,0.2,0.2,0.2,0.1,0.6,0.3,0.2,0.0,0.3,0.3,0.2,0.1,0.3,0.0,0.6,0.1,0.2
徳島,0.0,0.6,0.6,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.2,0.4,0.4,0.3,0.1,0.2,0.0,0.1,0.1,0.5
香川,1.0,2.1,1.6,0.8,0.1,0.4,0.2,0.2,0.1,0.1,0.6,1.0,1.0,1.8,0.8,1.0,0.0,0.6,1.2,1.4
愛媛,0.1,0.8,0.6,0.1,0.0,0.1,0.4,0.2,0.2,0.0,0.2,0.8,0.4,0.9,0.2,0.0,0.0,0.3,0.6,0.8
高知,0.0,0.3,0.3,0.0,0.0,0.1,0.1,0.2,0.2,0.0,0.1,1.2,0.7,0.7,0.2,0.0,0.0,0.5,0.7,1.7
福岡,25.2,9.7,15.5,5.0,7.9,8.3,4.0,3.6,6.5,4.8,0.7,5.4,6.7,6.7,2.3,2.4,2.1,3.4,6.3,5.1
佐賀,1.0,0.9,1.1,0.5,0.5,0.4,0.1,0.3,0.6,0.2,0.0,0.1,0.9,0.5,0.1,0.0,0.0,0.1,0.3,0.3
長崎,1.2,1.0,1.3,0.3,0.8,1.8,0.7,0.4,0.8,0.1,0.5,1.8,1.6,2.0,1.2,0.9,0.0,1.3,1.7,2.4
熊本,1.9,3.5,4.1,1.4,2.4,4.0,1.5,0.6,0.5,0.7,0.0,1.3,1.8,3.2,0.8,1.1,0.6,0.7,1.2,1.7
大分,8.0,3.7,4.9,0.9,2.8,2.9,1.3,0.8,1.1,0.2,0.2,1.2,1.8,2.5,0.2,0.5,0.1,0.8,1.1,1.7
宮崎,0.3,0.9,0.5,0.2,0.2,1.2,0.5,0.1,0.1,0.4,0.0,0.6,0.2,0.9,0.3,0.1,0.0,0.1,0.3,0.4
鹿児島,0.8,0.5,0.7,0.4,0.2,1.1,0.3,0.3,0.2,0.1,0.0,1.2,1.0,2.4,0.6,0.5,0.0,0.6,1.1,1.1
沖縄,6.0,14.5,7.1,2.7,1.7,2.8,0.6,0.0,0.4,0.3,1.4,2.9,4.9,4.4,3.6,2.4,7.2,4.5,2.9,2.0
