都道府県,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
北海道,8.4,10.8,8.5,6.7,14.2,11.1,21.1,4.0,2.0,2.7,1.1,3.4,3.7,3.5,1.8,1.0,8.6,4.0,4.4,7.6
青森,0.2,1.3,0.5,0.4,0.6,1.0,0.2,0.2,0.3,0.2,0.3,1.0,0.9,0.5,0.0,0.4,0.9,1.2,0.7,1.0
岩手,0.0,1.1,0.3,0.1,0.3,0.3,0.0,0.1,0.3,0.3,0.0,0.6,0.4,0.5,0.0,0.0,0.5,0.3,0.3,0.4
宮城,0.3,2.1,0.4,0.5,1.1,1.2,0.8,0.9,0.4,0.3,1.0,1.9,3.4,1.5,0.7,0.0,2.0,1.0,1.6,1.4
秋田,0.1,0.8,0.2,0.2,0.3,0.4,0.2,0.2,0.1,0.1,0.3,0.3,0.7,0.4,0.0,0.0,2.3,0.2,0.3,0.6
山形,0.1,0.9,0.3,0.1,0.1,0.4,0.5,0.4,0.2,0.2,0.0,0.6,0.9,0.7,0.3,0.0,0.8,0.3,0.8,0.5
福島,0.1,0.6,0.2,0.1,0.5,0.4,0.6,0.4,0.6,0.4,0.1,1.2,0.8,0.6,0.0,0.3,2.1,0.7,0.3,0.6
茨城,0.3,0.6,0.4,1.0,1.9,1.0,0.8,1.9,2.1,1.3,3.1,1.0,1.7,1.2,3.0,3.3,1.5,0.7,1.3,0.7
栃木,0.3,1.7,1.0,0.5,3.4,1.4,2.0,2.2,1.8,1.9,4.8,3.2,3.8,5.2,4.3,6.2,3.0,2.0,2.2,1.9
群馬,0.2,0.9,0.6,0.3,0.7,0.9,0.9,0.3,2.2,1.1,1.3,0.2,0.8,0.5,1.4,2.0,1.0,0.8,1.1,0.8
埼玉,0.5,1.1,0.6,0.7,2.0,1.1,1.1,1.8,2.7,3.2,1.5,2.2,1.6,1.6,2.0,0.8,1.2,1.1,1.7,1.1
千葉,14.8,28.6,28.8,35.8,48.7,41.4,39.5,46.4,52.4,46.8,84.4,59.3,43.3,49.2,100.0,100.0,95.9,64.3,57.4,67.7
東京,19.7,31.5,32.8,55.6,52.1,65.6,44.1,84.4,58.1,64.3,65.5,94.9,81.6,87.5,92.6,99.0,76.6,78.0,84.0,85.7
神奈川,2.7,5.2,4.4,9.4,6.6,8.4,7.6,9.0,10.5,10.7,17.4,18.9,17.0,16.2,11.7,24.1,11.3,16.3,16.7,12.6
新潟,0.1,0.7,0.6,0.4,0.7,0.5,0.5,1.0,1.0,0.1,0.0,1.6,1.4,0.9,0.3,0.3,3.0,0.7,0.8,1.8
富山,0.5,3.4,1.4,0.3,0.5,1.9,1.1,2.1,0.5,0.8,0.6,0.5,0.4,0.4,0.8,0.4,3.6,0.4,0.6,1.0
石川,0.3,3.7,2.2,1.0,1.3,1.8,1.6,2.7,0.4,1.3,0.9,4.0,4.6,5.5,13.7,9.3,1.5,2.4,2.9,5.6
福井,0.0,0.3,0.3,0.1,0.3,0.1,0.5,0.1,0.6,0.0,0.0,0.0,0.2,0.6,0.0,0.4,0.5,0.2,0.4,0.2
山梨,0.3,3.4,3.2,7.9,13.0,6.0,8.5,11.1,5.2,17.5,5.4,5.0,4.4,6.4,3.7,9.9,2.7,3.5,6.1,5.9
長野,0.5,6.2,3.1,1.1,3.0,4.1,1.0,3.7,1.5,2.8,1.0,6.6,5.4,3.6,1.6,5.3,0.8,2.5,4.8,14.0
岐阜,0.6,4.5,4.1,1.7,4.4,4.4,2.3,5.2,1.1,1.7,0.3,3.2,4.9,5.0,10.0,17.0,0.0,2.2,4.5,5.3
静岡,0.9,2.2,1.8,10.7,2.8,2.3,3.7,6.5,4.3,6.1,5.7,3.8,5.3,3.7,3.2,3.1,4.0,2.5,3.9,3.5
愛知,2.6,6.0,7.5,16.0,7.7,7.4,3.4,5.0,9.6,22.3,5.0,2.6,9.6,4.4,6.3,7.9,2.4,5.5,7.4,5.4
三重,0.2,0.8,1.3,0.5,1.1,0.2,0.6,0.1,1.1,1.0,0.6,0.2,1.0,1.0,0.6,0.0,0.0,0.6,1.1,0.8
滋賀,0.2,1.5,0.9,0.4,0.7,0.8,1.5,0.6,0.8,1.3,1.1,0.1,1.1,0.4,0.0,0.0,0.0,0.7,0.6,0.7
京都,15.9,18.1,19.2,37.8,16.7,27.0,33.2,32.4,19.2,24.2,16.0,30.3,35.6,47.6,46.3,65.7,20.3,29.9,38.5,44.4
大阪,31.7,25.7,32.5,54.3,28.7,36.0,48.1,47.1,33.5,40.4,25.1,18.3,35.2,41.4,19.2,44.8,18.4,27.2,38.2,43.9
兵庫,5.5,7.9,6.8,5.1,6.1,5.3,8.8,4.4,5.2,7.3,3.5,2.9,6.2,8.3,7.3,6.6,3.0,4.5,6.9,5.3
奈良,3.8,8.4,8.5,18.1,5.4,7.0,11.9,2.3,7.5,3.1,3.8,4.2,5.9,13.1,14.1,12.4,5.3,5.4,7.9,6.8
和歌山,0.3,1.2,2.5,0.8,1.3,1.3,0.6,0.3,0.5,0.6,0.9,1.4,2.1,5.6,2.8,9.1,0.7,1.3,2.0,2.9
鳥取,0.7,0.3,1.1,0.1,0.3,0.4,0.1,0.3,0.2,0.4,0.0,0.0,0.2,0.7,0.0,0.0,0.0,0.2,0.4,0.3
島根,0.4,0.2,0.4,0.1,0.0,0.2,0.1,0.1,0.3,0.0,0.6,0.1,0.2,1.1,0.3,0.0,0.0,0.1,0.1,0.3
岡山,0.6,2.0,1.8,0.4,0.7,0.9,0.5,0.7,0.9,1.0,0.5,1.4,1.2,2.5,0.3,2.9,0.3,0.7,0.7,1.1
広島,0.6,1.4,1.7,0.6,1.5,3.0,1.4,2.7,2.2,2.3,4.4,10.8,11.4,15.0,12.1,23.5,5.3,8.0,11.6,17.8
山口,2.1,0.7,0.6,0.1,0.1,0.3,0.3,0.0,0.5,0.8,0.0,0.2,1.1,0.4,0.0,0.0,0.0,1.2,0.2,0.4
徳島,0.1,0.4,0.9,0.1,0.1,0.1,0.2,0.3,0.3,0.1,0.0,0.1,1.1,1.0,0.2,0.0,0.5,0.3,0.4,0.5
香川,0.5,1.3,1.6,0.8,0.1,0.1,0.1,0.1,0.2,0.6,0.3,1.6,1.6,2.2,1.9,0.4,0.0,0.8,0.9,1.7
愛媛,0.1,0.8,0.9,0.2,0.1,0.4,0.1,0.4,0.3,0.5,0.0,0.3,0.5,1.3,0.7,0.0,0.0,0.4,0.3,0.8
高知,0.0,0.4,0.7,0.1,0.1,0.2,0.1,0.2,0.1,0.0,0.4,0.0,0.4,0.4,0.6,0.4,0.0,0.3,0.6,0.5
福岡,25.2,7.9,10.7,3.5,3.8,4.1,0.7,1.5,5.3,5.6,1.3,3.4,3.7,2.8,2.7,0.3,2.4,3.4,2.3,2.2
佐賀,2.3,1.1,1.6,0.6,0.3,0.5,0.0,0.0,0.3,0.2,0.0,0.0,0.1,0.1,0.0,0.3,0.0,0.1,0.1,0.1
長崎,3.0,2.2,2.2,0.6,0.8,1.3,0.2,0.2,0.6,0.9,0.2,1.0,0.8,1.7,0.6,0.4,0.0,1.7,1.2,0.9
