都道府県,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
静岡,0.6,2.1,2.8,3.9,2.8,3.1,3.9,5.1,5.4,5.1,5.2,6.1,5.5,4.5,1.0,1.0,0.0,2.8,2.6,6.9
愛知,2.9,6.3,6.8,7.0,8.1,7.3,6.5,7.1,9.4,16.8,5.4,6.1,6.6,9.1,4.7,3.8,9.2,4.7,4.1,7.6
三重,0.2,1.5,1.1,0.5,1.3,0.2,1.9,0.5,1.4,2.2,0.3,0.6,0.7,0.7,0.1,1.6,0.0,0.4,0.3,0.7
滋賀,0.2,2.0,0.9,0.9,0.8,0.3,0.6,0.2,0.2,0.2,0.6,0.3,0.7,1.1,0.2,0.1,7.3,0.5,0.8,0.5
京都,19.4,21.5,21.6,31.4,22.7,35.6,36.7,37.7,26.2,32.9,31.3,47.6,53.4,64.9,70.5,77.7,21.2,43.3,42.4,52.1
大阪,34.6,29.2,33.3,52.3,33.9,45.6,51.5,46.7,38.0,46.7,35.0,43.8,48.4,55.9,55.5,68.6,41.2,39.7,45.2,60.5
兵庫,4.8,5.9,6.2,7.5,6.3,6.6,6.0,3.7,4.5,6.7,3.2,7.8,8.6,11.5,8.1,9.7,7.3,4.7,6.1,7.4
奈良,2.9,6.9,6.3,12.6,6.2,11.1,10.6,5.8,10.7,2.9,5.7,12.6,14.6,16.9,15.8,28.6,18.9,9.1,10.7,11.9
和歌山,0.1,1.3,2.9,1.7,1.4,1.0,1.0,1.7,0.4,1.5,2.2,3.2,3.0,2.6,5.5,3.5,0.0,1.4,2.0,2.1
鳥取,0.0,0.3,0.4,0.3,0.5,0.2,0.2,0.0,0.4,0.1,0.3,0.4,0.4,0.9,0.1,0.0,0.0,0.1,0.2,0.3
島根,0.0,0.3,0.1,0.1,0.3,0.2,0.2,0.0,0.5,0.0,0.1,0.4,0.4,0.9,0.0,0.0,0.0,0.1,0.2,0.1
岡山,0.3,1.4,1.0,0.9,0.9,0.8,0.5,0.6,0.2,2.1,1.2,1.6,2.6,3.7,3.4,3.4,0.0,0.9,1.4,2.0
広島,0.7,1.1,0.8,0.7,1.4,3.2,2.1,2.0,2.6,1.7,6.1,17.0,22.6,22.7,23.7,33.3,0.0,9.8,10.4,18.9
山口,1.3,0.4,0.5,0.1,0.7,0.2,0.6,0.4,0.6,0.3,0.1,0.3,0.9,0.4,0.0,0.2,0.0,0.5,0.4,0.0
徳島,0.0,0.3,0.7,0.1,0.5,0.2,0.1,0.1,0.0,0.0,0.0,0.3,0.8,0.9,0.0,0.0,0.0,0.2,0.7,0.6
香川,0.8,1.0,1.3,0.4,0.5,0.1,0.1,0.0,0.2,0.0,0.5,0.7,3.0,1.9,1.3,2.2,3.9,0.6,1.1,2.6
愛媛,0.0,0.6,0.4,0.1,0.5,0.3,0.1,0.6,0.2,0.3,0.3,0.6,2.2,1.8,0.0,2.1,3.1,0.5,0.2,1.0
高知,0.1,0.4,0.3,0.2,0.5,0.0,0.0,0.0,0.4,0.0,0.1,0.4,0.2,1.0,0.0,0.0,0.0,0.3,0.5,1.4
福岡,25.8,9.4,14.4,3.9,12.5,5.4,3.6,2.6,6.1,3.5,1.3,3.8,7.9,4.5,2.2,1.4,10.1,3.8,7.8,7.2
佐賀,0.9,1.0,1.1,0.2,1.0,0.9,0.1,0.1,0.2,0.0,0.0,0.3,0.0,0.6,0.0,0.1,0.0,0.1,0.0,0.1
長崎,1.0,1.6,1.8,0.5,2.2,2.0,1.2,0.0,0.8,0.0,0.5,0.9,2.0,1.3,0.0,0.0,0.0,1.5,1.4,3.2
熊本,2.3,4.2,4.6,0.9,4.1,1.9,1.6,0.2,0.3,0.9,0.4,0.4,2.9,1.2,0.2,0.2,0.5,0.7,2.3,1.7
大分,9.6,4.2,5.8,0.7,5.9,1.7,1.6,0.7,0.8,0.7,0.6,0.5,3.1,2.6,0.2,0.4,9.6,0.6,1.3,1.7
宮崎,0.1,0.5,1.0,0.1,1.0,1.3,1.1,0.1,0.2,0.0,0.1,0.2,0.6,0.1,0.0,1.2,0.5,0.4,0.4,0.7
鹿児島,0.3,0.5,1.3,0.2,1.0,1.5,0.7,0.5,0.4,0.2,0.2,0.9,2.3,1.7,1.8,0.0,0.5,0.8,1.1,1.1
沖縄,4.1,9.2,6.4,2.0,0.0,0.1,0.0,0.4,0.4,0.4,0.4,1.0,2.0,3.1,1.7,1.6,0.0,3.1,1.7,0.8
