都道府県,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
北海道,8.9,8.9,5.8,2.5,6.7,10.6,8.0,3.7,2.0,1.5,1.9,1.8,2.0,2.0,2.4,2.8,3.9,3.0,2.7,5.2
青森,0.1,2.7,1.4,0.2,1.2,1.2,0.7,0.5,0.1,0.2,0.2,0.7,1.1,1.0,1.0,0.0,0.0,1.5,0.5,1.5
岩手,0.1,1.9,0.6,0.1,0.9,0.3,0.7,0.2,0.0,0.3,0.1,0.7,1.4,0.3,0.1,0.0,0.0,0.3,0.2,0.6
宮城,0.3,4.0,1.4,0.6,1.2,0.8,1.5,0.4,0.5,0.6,0.7,1.4,2.7,1.3,1.0,1.6,0.0,1.3,1.4,0.8
秋田,0.0,1.3,0.5,0.1,0.3,0.3,0.9,0.2,0.9,0.1,0.0,0.4,0.4,0.5,0.1,0.0,0.0,0.3,0.0,0.6
山形,0.0,1.5,0.7,0.1,0.5,0.5,1.0,0.4,0.1,0.5,0.5,0.6,0.6,0.2,0.5,2.5,0.0,0.3,0.8,0.7
福島,0.1,1.1,0.3,0.2,0.9,0.2,0.5,0.2,0.2,0.5,0.7,0.3,0.9,1.0,0.8,0.5,0.0,0.5,0.9,0.4
茨城,0.1,0.7,0.4,1.0,0.6,0.8,1.4,2.0,2.3,1.1,1.5,0.2,1.3,0.8,2.0,0.7,0.0,0.6,0.5,0.7
栃木,0.2,1.4,1.1,1.0,3.7,1.5,3.1,1.7,1.3,1.2,2.9,2.2,4.6,4.9,3.3,9.1,0.0,1.4,1.4,1.5
群馬,0.1,0.6,0.5,0.4,0.8,0.5,0.1,0.9,1.5,0.7,0.4,2.3,1.5,0.7,0.4,2.1,0.0,0.9,0.4,0.7
埼玉,0.5,1.1,0.9,1.6,2.7,1.0,1.3,1.1,1.6,2.1,0.7,0.5,1.9,0.5,1.0,2.7,0.0,1.1,1.2,0.4
千葉,20.1,31.5,33.2,41.5,44.4,48.5,48.6,54.4,57.5,62.8,60.5,36.4,45.5,44.4,46.1,46.2,62.5,46.4,67.5,50.9
東京,24.5,37.3,39.7,59.4,54.3,68.9,61.6,82.9,61.8,75.6,86.9,89.3,92.1,91.9,96.2,97.6,85.9,91.3,83.4,90.4
神奈川,3.4,6.6,7.1,12.1,7.4,10.9,5.7,7.5,9.8,8.1,17.5,15.2,16.7,20.8,16.5,26.8,26.3,17.5,15.6,15.6
新潟,0.1,0.4,0.5,0.5,1.0,1.2,0.3,0.8,0.2,0.8,1.7,0.7,0.2,0.7,0.2,0.1,0.0,0.4,0.2,0.8
富山,0.4,2.5,1.6,0.3,0.5,1.6,2.3,1.2,0.5,0.6,0.3,0.5,0.3,0.6,0.7,2.5,3.1,0.3,0.2,1.2
石川,0.2,2.8,1.7,0.6,1.2,3.4,1.6,1.3,0.7,0.8,0.8,5.9,6.9,8.4,21.7,16.4,0.0,3.3,3.0,6.8
福井,0.0,0.3,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.5,0.2,0.1,0.0,0.0,0.0,0.1,0.1,0.3
山梨,0.7,6.2,5.9,6.6,15.4,12.9,18.5,10.5,9.7,24.6,9.4,8.1,10.3,10.4,5.6,9.9,2.3,6.0,7.5,10.2
長野,0.4,4.6,3.5,1.1,3.1,3.5,1.4,3.8,1.0,2.3,1.4,6.7,4.9,4.7,2.7,6.3,13.8,2.6,3.2,8.0
岐阜,0.7,3.6,3.4,1.2,3.9,3.9,5.3,1.8,1.7,2.7,2.5,5.3,5.2,6.2,18.3,25.6,0.0,2.4,3.2,7.4
