都道府県,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
北海道,5.8,12.0,10.1,7.3,13.5,8.1,14.9,4.4,1.4,0.9,0.9,5.1,2.5,1.2,1.7,2.4,11.7,4.3,4.2,11.4
青森,0.1,1.3,0.4,0.2,0.4,1.3,0.3,0.1,0.0,0.0,0.1,0.3,0.0,0.3,0.3,0.0,0.8,1.1,0.3,1.1
岩手,0.0,0.8,0.2,0.1,0.2,0.3,0.3,0.1,0.3,0.4,0.0,0.2,0.2,0.2,0.1,0.0,0.2,0.3,0.2,0.1
宮城,0.4,1.8,0.3,0.7,1.1,1.9,0.8,0.9,0.5,0.0,0.5,0.8,1.9,0.7,1.2,0.2,1.9,1.2,0.5,0.7
秋田,0.1,0.8,0.5,0.1,0.1,1.3,0.2,0.0,0.1,0.0,0.0,0.2,0.2,0.0,0.3,0.0,0.6,0.2,0.0,0.3
山形,0.1,0.8,0.0,0.1,0.1,1.6,0.1,0.0,0.3,0.8,0.0,0.3,1.0,0.0,0.6,0.0,1.2,0.3,0.0,0.1
福島,0.1,0.4,0.3,0.3,0.4,0.5,0.3,0.0,1.0,2.1,1.1,0.5,1.2,0.0,0.5,0.0,1.2,0.2,0.3,0.4
茨城,0.2,0.5,0.3,0.8,2.8,2.7,0.8,2.2,1.7,3.8,2.5,2.7,2.4,0.5,1.1,3.0,2.7,1.1,1.6,0.9
栃木,0.3,1.9,0.5,0.6,6.7,2.3,2.1,1.8,1.1,1.7,4.6,4.8,5.1,5.1,5.6,8.2,2.9,1.3,1.9,2.8
群馬,0.2,1.2,0.9,0.4,1.6,0.6,0.5,0.4,1.8,1.8,1.3,0.8,1.7,0.9,0.7,0.3,1.4,0.7,1.2,0.2
埼玉,0.6,1.5,1.0,1.2,2.0,1.2,1.7,2.6,2.9,1.8,2.7,0.9,1.7,3.3,1.5,0.4,3.7,1.1,1.8,0.5
千葉,14.3,30.4,26.9,42.5,48.4,47.6,52.5,47.6,51.4,52.8,85.0,65.1,48.8,56.1,81.1,79.1,92.2,82.6,67.5,77.4
東京,23.0,34.1,33.7,59.3,54.3,70.5,43.0,77.4,57.5,61.4,59.4,91.4,80.5,87.5,85.0,87.8,65.8,69.8,80.9,84.2
神奈川,3.1,5.8,4.3,15.5,9.8,9.6,6.1,10.3,9.7,12.7,16.2,17.3,13.4,14.4,15.3,19.7,15.0,16.5,14.0,9.2
新潟,0.3,0.6,0.1,0.8,0.4,2.0,1.1,2.2,0.6,1.3,0.8,0.8,1.0,0.6,0.4,0.3,3.5,0.8,0.4,1.4
富山,0.3,3.2,1.9,0.4,1.3,2.1,0.9,1.8,0.2,1.4,0.7,0.6,0.4,0.0,0.1,0.7,2.1,0.4,0.2,1.2
石川,0.4,4.1,2.3,0.9,1.1,2.7,1.2,1.6,0.3,1.2,0.4,3.8,4.7,5.4,15.7,9.8,1.0,2.6,4.1,4.8
福井,0.0,0.2,0.7,0.1,0.0,0.0,0.0,0.4,0.1,0.0,0.1,0.0,1.7,0.4,0.4,0.6,0.8,0.2,0.6,0.2
山梨,0.4,2.8,1.4,13.5,9.0,4.6,4.0,8.1,3.8,7.1,1.4,4.0,2.5,5.0,2.6,3.6,2.7,2.1,4.4,3.5
長野,0.4,5.9,2.7,1.3,2.9,4.2,2.1,4.0,2.1,1.3,0.7,3.4,5.5,4.1,3.7,2.7,1.4,2.7,3.7,17.1
岐阜,0.5,4.3,4.2,1.6,4.2,5.0,3.7,3.2,1.5,5.1,0.6,3.7,6.8,6.4,16.2,23.4,0.4,2.5,4.0,7.2
静岡,1.1,2.3,2.6,11.9,5.5,3.1,5.2,8.4,7.0,8.5,7.2,6.1,4.8,5.0,4.7,1.6,3.1,3.7,4.2,5.6
愛知,3.0,5.7,8.6,19.5,7.4,7.7,3.8,4.2,9.7,21.7,7.1,4.2,15.2,5.3,5.4,5.3,2.9,6.5,5.1,2.9
三重,0.3,0.7,1.3,0.9,0.6,1.7,0.3,0.8,1.3,2.3,0.9,0.5,1.3,0.7,0.2,0.9,0.4,0.5,1.3,0.7
滋賀,0.3,1.3,0.4,0.5,1.0,0.6,1.7,0.3,0.1,1.3,0.7,0.3,1.1,0.5,0.3,0.6,0.0,0.5,0.9,0.1
京都,16.5,19.5,20.5,40.6,16.3,18.6,28.3,30.6,19.1,24.7,14.1,34.4,31.5,48.5,55.3,66.9,16.0,27.3,33.1,47.2
大阪,31.0,30.1,34.1,58.5,30.0,26.3,46.9,47.5,36.9,38.7,25.0,19.0,34.0,39.6,42.1,48.3,13.3,25.7,33.6,44.0
兵庫,5.5,8.0,7.4,5.4,8.2,5.3,6.2,6.8,4.6,9.2,5.2,3.4,7.0,8.3,9.1,6.7,2.4,3.7,6.3,4.7
奈良,3.3,7.3,6.4,10.9,5.3,4.4,4.4,3.2,6.8,3.1,2.1,4.2,7.4,11.4,12.0,11.2,4.2,3.5,6.2,6.1
和歌山,0.2,0.7,2.8,1.1,0.7,0.9,0.6,0.5,0.7,0.0,0.6,2.0,3.4,7.0,6.6,5.6,0.2,1.1,3.7,4.0
鳥取,0.1,0.9,0.5,0.2,0.1,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.4,1.1,0.3,0.0,1.0,0.2,0.0,0.1
島根,0.1,0.6,0.1,0.1,0.4,0.0,0.1,0.1,0.3,0.4,0.1,0.2,0.2,1.0,0.4,0.0,0.2,0.1,0.1,0.3
岡山,0.3,1.4,1.9,0.4,0.4,0.2,1.0,0.7,0.3,0.4,0.7,1.1,1.7,3.1,2.7,0.7,1.0,0.7,1.7,1.2
広島,0.7,2.0,2.2,1.0,2.1,3.6,2.2,3.2,1.8,2.6,5.5,16.1,13.4,18.2,19.1,23.9,3.5,7.7,10.3,18.4
山口,2.8,0.6,0.7,0.2,0.6,0.5,0.0,0.0,0.2,0.9,0.0,0.2,0.4,0.7,0.3,0.2,0.0,0.7,0.6,0.2
徳島,0.1,0.1,0.1,0.1,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.4,0.4,0.7,0.3,0.2,0.0,0.2,0.4,0.1
香川,0.5,1.1,0.3,0.8,0.6,0.3,0.2,0.4,0.0,0.0,1.0,0.5,1.7,2.6,2.0,0.4,0.2,0.8,1.3,1.2
愛媛,0.2,0.6,0.2,0.2,0.1,0.3,0.4,0.6,0.4,0.0,0.1,0.6,1.3,0.7,1.9,0.2,1.1,0.5,0.3,0.5
高知,0.1,0.3,0.1,0.1,0.1,0.4,0.1,0.5,0.2,0.4,0.2,0.3,0.2,0.8,0.2,0.0,0.2,0.3,0.3,0.1
福岡,26.7,7.2,9.5,3.9,8.2,7.3,1.6,3.1,4.5,7.2,0.9,3.6,5.3,4.4,1.9,2.0,2.2,3.6,3.5,2.3
佐賀,1.3,1.1,2.0,0.4,1.4,1.9,0.0,0.0,0.2,0.4,0.0,0.2,0.0,0.0,0.1,0.0,0.2,0.4,0.4,0.0
長崎,5.1,2.3,1.8,0.6,2.8,1.0,0.2,0.0,1.7,0.4,0.1,1.9,3.0,1.6,1.4,0.3,0.8,2.2,1.6,1.3
