都道府県,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
岡山,0.2,1.2,0.7,0.6,0.6,0.7,0.6,0.7,0.5,0.4,1.2,1.4,1.3,1.8,2.1,2.4,0.9,1.0,1.4,1.1
広島,1.0,1.6,0.7,1.1,1.6,2.3,1.2,4.1,2.0,2.2,3.8,12.1,12.4,14.3,18.2,22.7,3.3,6.7,11.5,16.0
山口,2.6,0.3,0.1,0.3,0.6,0.0,0.5,0.3,0.5,0.4,0.0,1.8,1.0,0.1,0.1,0.0,0.8,1.1,1.2,0.3
徳島,0.1,0.3,0.9,0.0,0.4,0.0,0.2,0.2,0.2,0.5,0.2,0.7,0.2,0.6,0.0,0.0,0.0,0.3,0.2,0.4
香川,0.5,0.9,1.0,0.6,0.3,0.2,0.3,0.3,0.1,0.0,0.1,1.2,0.4,0.9,1.5,1.3,0.8,0.7,1.1,1.4
愛媛,0.1,0.6,0.6,0.2,0.2,0.5,0.1,0.3,0.2,0.0,0.0,0.4,1.3,0.4,1.8,0.2,0.0,0.4,0.6,0.5
高知,0.1,0.2,0.4,0.1,0.5,0.0,0.1,0.4,0.3,0.4,0.0,0.2,0.5,0.3,0.2,0.0,0.0,0.2,0.0,0.6
福岡,25.3,7.2,8.8,4.0,7.9,7.2,1.4,3.3,4.7,5.2,1.5,3.7,3.8,3.4,1.5,1.8,2.1,4.6,5.4,1.6
佐賀,1.1,0.5,1.3,0.3,1.5,0.2,0.1,0.2,0.3,0.0,0.0,0.1,0.2,0.4,0.1,0.0,0.0,0.2,0.5,0.0
長崎,6.5,2.4,2.2,0.6,1.4,1.6,0.2,1.1,0.8,0.9,0.3,1.2,3.4,0.5,1.4,1.4,0.2,1.9,2.1,1.4
熊本,5.5,4.5,4.7,1.2,2.6,2.6,0.2,0.8,0.4,1.3,0.3,0.9,1.9,1.8,0.6,1.6,0.2,0.7,1.2,0.4
大分,12.1,3.7,4.4,1.3,3.5,3.0,0.3,0.4,0.2,0.8,0.0,0.8,1.5,0.5,1.2,1.2,0.4,0.7,1.1,0.4
宮崎,0.2,0.8,0.5,0.1,0.2,0.0,0.1,0.1,0.2,0.0,0.0,0.2,0.0,0.5,0.1,0.0,0.2,0.3,0.2,0.3
鹿児島,0.9,1.2,1.8,0.4,0.4,1.0,0.3,0.5,0.7,0.5,0.0,0.4,1.2,2.8,1.2,2.1,0.0,0.4,1.4,0.7
沖縄,6.7,9.5,14.8,5.3,0.0,1.4,0.2,0.4,0.1,0.0,0.3,1.5,3.0,3.4,2.0,3.2,1.0,4.1,2.2,1.5
