都道府県,韓国,台湾,香港,中国,タイ,シンガポール,マレーシア,インドネシア,フィリピン,ベトナム,インド,英国,ドイツ,フランス,イタリア,スペイン,ロシア,米国,カナダ,オーストラリア
北海道,5.9,13.2,9.9,8.0,12.9,10.9,7.1,5.6,1.9,0.0,0.4,3.4,2.5,3.1,2.3,0.4,11.5,4.2,5.5,9.9
青森,0.1,0.9,0.3,0.2,0.2,0.7,0.1,0.0,0.4,0.4,0.3,0.8,1.0,0.6,1.3,0.0,0.2,1.6,1.2,1.8
岩手,0.0,0.4,0.0,0.1,0.2,0.3,0.2,0.4,0.0,0.0,0.0,0.3,0.9,0.0,0.4,0.7,0.4,0.3,0.0,0.6
宮城,0.4,0.9,0.2,0.9,1.2,1.0,0.4,2.7,0.2,1.0,0.6,0.7,2.5,1.4,0.9,0.9,2.2,1.2,1.2,0.8
秋田,0.1,0.5,0.1,0.1,0.3,0.5,0.3,0.2,0.3,0.0,0.1,0.1,0.7,0.2,0.6,0.0,0.2,0.6,0.2,0.9
山形,0.1,0.6,0.0,0.2,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.4,0.5,0.1,0.2,0.4,0.4,0.2,0.3
福島,0.1,0.3,0.4,0.3,0.4,0.4,0.2,0.5,1.1,0.0,0.0,0.9,1.5,0.9,0.3,0.0,1.2,0.5,0.2,1.2
茨城,0.4,0.3,0.1,1.2,1.8,0.6,1.3,3.4,1.8,3.3,1.2,2.3,1.6,0.9,1.1,0.7,2.2,0.9,1.6,0.5
栃木,0.5,1.2,0.4,0.9,6.1,1.0,1.1,2.8,0.7,3.5,4.6,3.3,4.2,5.8,5.2,6.7,4.5,3.2,3.4,1.7
群馬,0.3,0.7,0.2,0.4,0.4,0.7,0.9,0.7,1.6,0.4,0.3,1.0,1.1,1.0,0.2,0.0,0.4,0.7,0.9,0.6
埼玉,1.0,0.7,0.4,1.7,3.2,1.5,0.9,3.7,2.8,4.9,2.3,2.0,2.9,1.5,1.0,1.3,2.9,1.6,1.3,1.4
千葉,17.5,31.5,24.3,54.4,51.7,51.0,58.0,61.1,53.8,55.9,85.3,70.2,48.1,63.3,74.8,75.7,93.3,85.3,70.7,82.8
東京,28.0,36.4,30.4,69.1,57.9,75.7,51.5,77.5,60.8,64.9,60.8,89.7,77.2,86.4,83.9,90.9,67.0,67.8,77.9,81.2
神奈川,4.2,7.1,4.8,19.6,9.8,10.6,7.9,8.7,13.2,23.1,17.2,15.6,14.0,20.5,14.2,24.2,16.4,16.0,12.9,9.2
新潟,0.4,0.7,0.3,1.0,0.7,0.0,1.2,1.1,0.9,0.4,0.1,0.8,0.6,0.2,0.4,1.2,4.9,0.7,0.6,2.5
富山,0.4,4.3,2.1,0.4,1.0,0.7,1.6,2.0,0.4,0.4,0.2,1.9,0.5,0.5,0.7,0.6,3.6,0.4,0.3,1.0
石川,0.4,3.8,2.3,0.6,0.7,2.4,2.2,2.7,0.4,0.4,0.4,3.7,2.9,5.0,10.4,8.7,1.2,2.2,3.7,4.3
福井,0.1,0.2,0.2,0.1,0.0,0.0,0.1,0.0,0.3,0.0,0.0,0.1,0.2,0.0,0.0,0.5,0.0,0.2,0.5,0.1
山梨,0.6,3.2,2.4,15.4,12.0,4.1,5.4,11.4,5.8,13.6,3.1,3.9,3.7,5.4,2.1,2.8,3.4,2.5,4.3,4.4
長野,0.7,6.7,2.2,1.3,3.9,1.6,3.2,4.2,2.1,1.5,1.0,8.6,2.8,4.8,3.0,3.4,3.1,2.9,5.4,15.5
岐阜,0.7,4.2,3.9,1.2,3.1,2.7,3.3,3.8,1.6,2.6,0.6,3.2,3.6,7.9,9.6,15.9,0.4,2.2,4.2,6.4
静岡,1.6,3.5,2.3,11.1,6.0,3.4,6.3,11.0,6.2,8.9,7.6,3.1,4.8,4.2,4.2,3.7,2.0,3.6,4.8,3.4
愛知,3.9,6.3,6.7,21.0,7.9,5.4,6.7,6.9,11.3,20.4,4.2,6.0,12.2,4.7,4.2,6.3,3.5,6.5,4.4,3.8
三重,0.3,0.6,0.6,0.5,0.5,0.5,1.4,0.4,1.6,0.4,0.4,0.5,2.6,0.7,0.5,1.2,0.4,0.5,0.3,0.6
滋賀,0.3,1.4,0.5,0.5,0.7,0.3,1.4,0.5,0.7,2.2,0.4,0.4,0.5,0.8,0.3,0.0,0.4,0.5,0.2,0.1
京都,13.5,17.0,18.3,35.4,16.1,17.7,34.0,30.2,17.3,29.8,10.5,32.0,30.9,47.0,50.7,62.4,14.9,24.8,31.6,42.9
大阪,27.0,28.7,35.3,54.4,26.0,29.8,57.4,44.0,37.3,42.2,24.2,18.9,31.1,35.9,40.3,46.0,12.8,23.0,26.9,40.2
兵庫,6.4,8.3,7.9,5.2,5.8,4.2,11.4,5.0,6.2,18.6,5.5,5.2,7.9,6.4,8.8,7.8,1.8,4.5,6.5,4.1
奈良,3.2,5.3,4.8,7.5,3.8,2.3,5.3,3.3,5.4,2.9,1.8,4.8,5.9,9.7,13.7,12.6,3.3,3.8,5.8,3.3
和歌山,0.4,0.8,2.5,0.9,0.7,1.3,0.7,0.7,0.6,0.9,0.2,2.4,3.0,4.3,3.8,4.2,1.0,1.3,2.9,3.1
鳥取,0.0,0.4,0.4,0.0,0.2,0.0,0.1,0.1,0.0,0.9,0.0,0.0,0.4,0.2,0.0,0.4,0.8,0.2,0.2,0.1
島根,0.0,0.3,0.2,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.1,0.8,0.0,0.5,0.0,0.0,0.2,0.2,0.2,0.0
